Titre,Année de publication,Texte intégral,Publication,Lieu de publication,Auteur,Éditeur,Date de publication,Sujet,Société / organisation
Canadian Stage to produce Harris’s controversial Slave Play at Berkeley Street Theatre,2025,"Canadian Stage will produce the Canadian premiere of Slave Play, American playwright Jeremy O.
Harris’s controversial work about race, sex and power dynamics, this fall.
Set on a Virginia plantation, the play follows three interracial couples as they undergo “antebellum sexual performance therapy,” which consists of roleplaying exercises that see the partners pretend to be slaves and owners.
Though Slave Play prominently features simulated sex acts, the critically acclaimed work is less about sex and more about power and desire, as well as the intersectional tapestry of racism that continues to loom over the United States.
Slave Play premiered at New York Theatre Workshop in 2018 before transferring to Broadway in 2019 and earning 12 Tony nominations. The play has since been revived in New York, Los Angeles and London. The Canadian Stage production, directed by associate artistic director Jordan Laffrenier, will mark Slave Play‘s first voyage over the Canadian border.
“I saw Slave Play when it opened offBroadway, and I knew I wanted to direct it right away,” Laffrenier said. “So much of the story is about the ways race and sex collide; I’m interested in the play aspect of Slave Play, and how through desire we can act out fantasies and learn more about ourselves and one another.”
“We’re super proud to have Jordan helming this,” artistic director Brendan Healy said. The Canadian Stage production, set to play the Berkeley Street Theatre from Sept. 27 to Oct. 19, will feature an all-Canadian cast and creative team, he added, though casting details remain to be announced.
While Slave Play was on Broadway, Harris spearheaded the first “Black Out Nights,” or performances geared exclusively toward Black audiences. At the time, Harris said he hoped these special performances would result in “more representation of Black bodies, both onstage and off.”
Since Slave Play‘s Broadway run, a handful of theatre companies – including Canadian Stage – have produced Black Out Nights of their own, often to a swarm of controversy.
In 2023, a Black Out Night for the National Arts Centre presentation of Canadian Stage, Obsidian Theatre and Necessary Angel’s co-production of Is God Is by Aleshea Harris drew criticism from right-wing media outlets, with some commentators calling the practice “cultural apartheid.”
Former British prime minister Rishi Sunak also expressed concern about Black Out Nights when Slave Play ran on London’s West End in 2024, saying that “restricting audiences on the basis of race would be wrong and divisive.”
According to Healy, it has not yet been decided whether the Toronto run will include Black Out Nights. “We’re evaluating community interest and need,” he said.
Canadian Stage has long produced work by non-Canadian playwrights, including recent American heavy hitters such as The Inheritance and Fat Ham.
With a trade war heating up, however, some Canadians have called on local arts institutions to focus on producing work by Canadian playwrights. Slave Play‘s Harris, raised in Martinsville, Va., is American.
Healy’s take is that artists should “stay open to the world” in times of geopolitical fear and distrust – especially a company such as Canadian Stage, which continues to carry an “internationalist” approach to programming.
“We are an anchor theatre inside a global city,” he said. “When we do nonCanadian work, we try to prioritize voices that are unique and necessary, that offer important perspectives. Jeremy straddles a number of communities that are currently being threatened south of the border. There’s an imperative for us to give space to those voices in response to the current geopolitical situation.”
Laffrenier agreed. “Even as a Canadian, this show feels relevant to my own history of being a person whose family has been very wounded by slavery on both sides,” he said. “The history of slavery is very present in Canada, and I think that’s true of the story of many Torontonians.
“Slave Play is a story about love,” he added. “And about how history shapes the present moment.”","The Globe and Mail; Toronto, Ont.","Toronto, Ont.","Murphy, Aisling",The Globe and Mail,"Mar 22, 2025",Stage production; Artistic directors; Geopolitics; Theater; Slavery; Dramatists,
"Canadian Stage to produce Jeremy O. Harris’s controversial Slave Play:   Director Jordan Laffrenier’s production of Slave Play, set to play the Berkeley Street Theatre this fall, will feature an all-Canadian cast and creative team",2025,"Canadian Stage will produce the Canadian premiere of Slave Play , American playwright Jeremy O. Harris’s controversial work about race, sex and power dynamics, this fall.
Set on a Virginia plantation, the play follows three interracial couples as they undergo ""antebellum sexual performance therapy,"" which consists of role-playing exercises that see the partners pretend to be slaves and owners.
Though Slave Play prominently features simulated sex acts, the critically acclaimed work is less about sex and more about power and desire, as well as the intersectional tapestry of racism that continues to loom over the United States.
Slave Play premiered at New York Theatre Workshop in 2018 before transferring to Broadway in 2019 and earning 12 Tony nominations. The play has since been revived in New York, Los Angeles and London. The Canadian Stage production, directed by associate artistic director Jordan Laffrenier, will mark Slave Play ‘s first voyage over the Canadian border.
""I saw Slave Play when it opened off-Broadway, and I knew I wanted to direct it right away,"" Laffrenier said. ""So much of the story is about the ways race and sex collide; I’m interested in the play aspect of Slave Play , and how through desire we can act out fantasies and learn more about ourselves and one another.""
""We’re super proud to have Jordan helming this,"" artistic director Brendan Healy said. The Canadian Stage production, set to play the Berkeley Street Theatre from Sept. 27 to Oct. 19, will feature an all-Canadian cast and creative team, he added, though casting details remain to be announced.
While Slave Play was on Broadway, Harris spearheaded the first ""Black Out Nights,"" or performances geared exclusively toward Black audiences. At the time, Harris said he hoped these special performances would result in ""more representation of Black bodies, both onstage and off.""
Since Slave Play ‘s Broadway run, a handful of theatre companies – including Canadian Stage – have produced Black Out Nights of their own, often to a swarm of controversy.
In 2023, a Black Out Night for the Canadian Stage/National Arts Centre co-production of Is God Is by Aleshea Harris drew criticism from right-wing media outlets, with some commentators calling the practice ""cultural apartheid.""
Former British prime minister Rishi Sunak also expressed concern about Black Out Nights when Slave Play ran on London’s West End in 2024, saying that ""restricting audiences on the basis of race would be wrong and divisive.""
According to Healy, it has not yet been decided whether the Toronto run will include Black Out Nights. ""We’re evaluating community interest and need,"" he said.
Canadian Stage has long produced work by non-Canadian playwrights, including recent American heavy hitters such as The Inheritance and Fat Ham . With a trade war heating up, however, some Canadians have called on local arts institutions to focus on producing work by Canadian playwrights. Slave Play ‘s Harris, raised in Martinsville, Va., is American.
Healy’s take is that artists should ""stay open to the world"" in times of geopolitical fear and distrust – especially a company such as Canadian Stage, which continues to carry an ""internationalist"" approach to programming.
""We are an anchor theatre inside a global city,"" he said. ""When we do non-Canadian work, we try to prioritize voices that are unique and necessary, that offer important perspectives. Jeremy straddles a number of communities that are currently being threatened south of the border. There’s an imperative for us to give space to those voices in response to the current geopolitical situation.""
Laffrenier agreed. ""Even as a Canadian, this show feels relevant to my own history of being a person whose family has been very wounded by slavery on both sides,"" he said. ""The history of slavery is very present in Canada, and I think that’s true of the story of many Torontonians.
"" Slave Play is a story about love,"" he added. ""And about how history shapes the present moment.""
Follow this link to view this story on globeandmail.com: Canadian Stage to produce Jeremy O. Harris’s controversial Slave Play",The Globe and Mail (Online); Toronto,Toronto,"Murphy, Aisling",The Globe and Mail,"Mar 20, 2025",Stage production; Artistic directors; Geopolitics; Theater; Slavery; Dramatists,
"Second set of remains in Winnipeg-area landfill search identified as Marcedes Myran:   Manitoba government confirms findings shortly after the remains of another victim, Morgan Harris, were identified",2025,"Manitoba has identified a second set of human remains at a Winnipeg-area landfill, confirming that they belong to one of two First Nations women whose bodies the province has been searching for at the site since last year.
In a statement Monday, the Manitoba government said investigators at the Prairie Green landfill have matched human remains to Marcedes Myran, one of four women murdered in 2022 by a serial killer who was convicted for the crimes last summer.
Earlier this month, the province identified a first set of remains found at the site in late February as those belonging to Morgan Harris, another one of the victims.
""Marcedes Myran we honour you,"" Manitoba Premier Wab Kinew said Monday in a short statement posted to social media.
Manitoba has been searching for the remains since last fall at Prairie Green, just north of Winnipeg in the Rural Municipality of Rosser, a multiyear effort that the provincial and federal governments have each committed $20-million toward.
In August last year, after a months-long trial, Jeremy Skibicki, then 37, was sentenced to life in prison for the first-degree murders of 39-year-old Ms. Harris, 26-year-old Ms. Myran, 24-year-old Rebecca Contois and a yet-to-be-identified woman whom First Nations elders have named Mashkode Bizhiki’ikwe, meaning Buffalo Woman.
After the killer’s arrest in May of 2022, Winnipeg police had located some of the remains of Ms. Contois, a member of Crane River First Nation, at a separate landfill. But while police obtained GPS information to confirm that the bodies of Ms. Myran and Ms. Harris, both from Long Plain First Nation, were at Prairie Green, they opted not to conduct a search of that landfill.
Police said the Prairie Green search would be too dangerous.
More to come.
Follow this link to view this story on globeandmail.com: Second set of remains in Winnipeg-area landfill search identified as Marcedes Myran",The Globe and Mail (Online); Toronto,Toronto,"Durrani, Temur",The Globe and Mail,"Mar 17, 2025",Criminal sentences; Criminal investigations; Landfill; Murders & murder attempts; Human remains,
"Cool classics to add to your wardrobe; Spring fashion mvps When a new season rolls in, we keep an eye out for timeless closet additions. With an eye for cool classics, we've rounded up six style MVPs (most valuable pieces) to add to your closet this spring, writes Aleesha Harris",2025,"PAPER LABEL LOIS DENIM SHIRT If you add one new piece to your closet this spring, let it be something denim. The work wear-to-everyday-wear material is trending this season. And for good reason. It's versatile and effortless. Take this Lois Denim Shirt from the Vancouver-headquartered brand Paper Label as a perfect example. It can be worn with classic trousers for an office look, or (our favourite) worn with blue jeans for a classic, Canadian Tuxedo effect. $165Paperlabel.ca ARITZIA BABATON STANDOUT BLAZER A structured blazer is a power move this spring. From the Vancouver-headquartered brand Aritzia, this aptly named Standout Blazer featured an hourglass silhouette for a seriously flattering fit. Available in a selection of stylish hues, the design is crafted from a slightly stretchy fabric sourced from Portugal for added comfort. $248Aritzia.com LEVI'S CINCH BAGGY JEANS Again with the denim ... if your style selection is still missing a pair of wide-leg jeans, it's high time to consider a pair. We're partial to these Cinch Baggy Jeans from Levi's, which feature a wide, straight fit along with a no-gap waistband for a super sleek effect. $99.95Levi.com MAGUIRE SORIA BAMBI HEEL If a cool cowboy boot met and fell in love with a lovely loafer, these Soria heels from the Montreal-headquartered brand Maguire would be the result. Featuring a walkable heel height and available in either black leather or spotted pony hair, these chic handmade-in-Spain shoes are poised to become your new favourites. $250Maguireshoes.com SIMONS OVAL BUCKLE WIDE LEATHER BELT A simple way to update your spring style is with fresh accessories. This leather belt from the Montreal-headquartered retailer Simons features an eye-catching oval buckle in a silver tone that is sure to add an ounce of polish to all your outfits this season. $59Simons.ca COS X LINDA FARROW FACET SUNGLASSES Another accessory option that will offer an update to your spring style rotation, these sunglasses from COS boast a unique, flattering octagonal frame shape. Created in collaboration with the brand Linda Farrow, these shades are part of a broader spring/summer collection between the two brands that includes oversized cat-eye frames, classic aviators and more. $250 Cos.com","The Vancouver Sun; Vancouver, B.C.","Vancouver, B.C.","Harris, Aleesha",Postmedia Network Inc.,"Mar 15, 2025",Denim,
A small and overdue step in Manitoba toward dignity and reconciliation:   The delay of police and politicians in launching a search for the remains of Morgan Harris and other Indigenous women was an insult piled on top of their families’ grief.,2025,"Morgan Harris has, finally, come home. The Indigenous woman was one of four murdered by a serial killer and her body lay nearly three years in a dump near Winnipeg. For a time, it looked as though this indignity would be eternal. Police ducked calls to search the landfill and the provincial government used the situation to score political points.
This was a betrayal. It was insult piled upon grief for her family, which is understandably in no mood to forgive.
A change of government finally led to a search. And remains found recently were identified last week as belonging to Ms. Harris. Other remains have also been unearthed at the site but not yet identified. The family of Marcedes Myran, another of the killer’s victims, is hoping this will turn out to be their daughter.
Finding these women is a crucial step in their families’ recovery. It’s also a small step along Canada’s road toward reconciliation with Indigenous people, and one that should never have taken this long.
Jeremy Skibicki was sentenced last year to life in prison for murdering Ms. Harris and Ms. Myran, along with Rebecca Contois and another woman who has not been identified. He targeted women in homeless shelters, lured them to his apartment, assaulted them, killed them and defiled their bodies, which he then dumped in the garbage.
After arresting him, in May of 2022, Winnipeg police kept secret their conclusion that Ms. Harris and Ms. Myran had ended up in the Prairie Green landfill, north of Winnipeg. They allowed the families to keep hoping for months their loved ones were alive, to go on searching for them.
Police later responded to graffiti critical of their inaction by referring it to their major crimes unit.
Once police acknowledged they thought the bodies were at Prairie Green, they refused to look for them, claiming dangerous material such as asbestos made it too risky. But police are not the ones trained to assess such risks.
The police claim was then taken up by the Progressive Conservative government of Heather Stefanson, which argued it would be irresponsibly dangerous to search the landfill. A worst-case cost estimate – $184-million if the search took three years – was treated as gospel. Doing the right thing for these families was crassly weighed against what else that money could buy.
The Tories turned the families’ pain into an ugly wedge issue during a 2023 provincial election, insisting they were doing the right thing by doing nothing. In the last days of the campaign they even paid for large billboards touting the supposed virtue of not undertaking the search.
These families were treated callously by the police and cynically by the government.
It’s easy to say the right words when it comes to reconciliation. The actual work is harder, and it centres on respect. Reconciliation is made more difficult by torching trust with the Indigenous community. It requires humility. It requires empathy.
Canadians have to see the pain and suffering of Indigenous people as being important. When the families of these women were crying out for justice, police and government made it clear that their loved ones didn’t matter.
Only after Wab Kinew led the NDP to victory in that 2023 election, having promised to search the landfill, did the necessary work begin. While excavation continues, the search has so far been much faster and cheaper than forecast. And even if it does drag on it would still have been the right thing to do.
In the Manitoba legislature last week, current Tory Leader Wayne Ewasko admitted as much, saying his party had ""lost our way in regards to empathy and also lost our way in regards to closure being brought forward to the families of the victims.""
It can be too easy for other Canadians to look away from the suffering of Indigenous people. But their reality – a shorter life span, far too many of them in prison, urban homelessness and dozens of reserves with boil-water advisories – is a stain on the nation. Ignoring it just compounds this.
True reconciliation may take decades, though there will be moments along the way that show progress is being made. Recognizing the importance of searching the landfill was one such marker. Finding Morgan Harris, and giving back the dignity she deserved by returning her to her family, was another.
Follow this link to view this story on globeandmail.com: A small and overdue step in Manitoba toward dignity and reconciliation",The Globe and Mail (Online); Toronto,Toronto,The Editorial Board,The Globe and Mail,"Mar 14, 2025",Criminal sentences; Native peoples; Women; Landfill; Murders & murder attempts; Homeless people; Cost estimates; Reconciliation,
"Remains found in Winnipeg-area landfill search confirmed to belong to Morgan Harris:   A second set of remains have also been discovered at the site, but have not been identified, the government said Friday",2025,"The Manitoba RCMP have identified the human remains found at a Winnipeg-area landfill as those belonging to one of at least two First Nations women that the province has been searching for at the site.
In a statement late Friday, the Manitoba government confirmed that investigators at the Prairie Green landfill have matched some of the human remains found to Morgan Harris, one of four women murdered in 2022 by a serial killer, who was convicted for the crimes last summer.
The province said Ms. Harris’s family has been notified and is asking for privacy.
The government added Friday that there is also a second set of remains recovered at the site, which have not yet been identified.
Manitoba has been searching for the remains at a targeted section of Prairie Green, just north of Winnipeg in the Rural Municipality of Rosser, since last fall. Last week, Manitoba Premier Wab Kinew told The Globe and Mail that the RCMP and Manitoba’s Office of the Chief Medical Examiner had been tasked to identify the remains that workers uncovered from thousands of cubic metres of detritus.
In August last year, after a months-long trial, Jeremy Skibicki, then 37, was sentenced to life in prison for the first-degree murders of 39-year-old Ms. Harris, 26-year-old Marcedes Myran, 24-year-old Rebecca Contois and a yet-to-be-identified woman whom First Nations elders have named Mashkode Bizhiki’ikwe, meaning Buffalo Woman.
After the killer’s arrest in May of 2022, Winnipeg police had located some of the remains of Ms. Contois, a member of Crane River First Nation, at a separate landfill. But while police obtained GPS information to confirm that the bodies of Ms. Myran and Ms. Harris, both from Long Plain First Nation, were at Prairie Green, they opted not to conduct a search of that landfill.
Police said the Prairie Green search would be too dangerous. That decision became the flashpoint issue of Manitoba’s election in 2023, with the PC Party at the time paying for billboards, radio ads and newspaper spots to tell voters that ""the answer on the landfill dig just has to be no."" But Mr. Kinew’s New Democrats, who eventually won the election, argued that the search was the humane thing to do.
Earlier this week, PC Opposition Leader Wayne Ewasko formally apologized for the first time to the families of the four women at the Manitoba legislature.
More to come
Follow this link to view this story on globeandmail.com: Remains found in Winnipeg-area landfill search confirmed to belong to Morgan Harris",The Globe and Mail (Online); Toronto,Toronto,"Durrani, Temur",The Globe and Mail,"Mar 7, 2025",Criminal sentences; Criminal investigations; Women; Landfill; Murders & murder attempts; Human remains,
MLA refers to Holocaust in defence of residential schools post; Green party deputy leader calls comment 'very disturbing and shocking',2025,"A Progressive Conservative MLA is defending a controversial social media post she made about the residential school system by referencing the Holocaust.
On Friday, Albert-Riverview MLA Sherry Wilson spoke to media for the first time about the Facebook post that drew calls from some Indigenous leaders for her to be removed as a PC candidate in the fall provincial election.
In that post, Wilson appeared to draw a comparison between protections for LGBTQ+ students under the province's original gender-identity policy and the federal program aimed at stripping Indigenous children of their culture and language through residential schools.
In her post, Wilson wrote that the residential school system ""was only allowed to happen because children enrolled in school were isolated from their parents' oversight, input and influence.""
""We cannot afford to repeat the tragic mistakes that destroyed the lives of thousands of Indigenous families,"" she wrote in her post. ""Therefore, I am committed to keeping the parents of minor children aware of, and involved in, their children's development while they are entrusted to our government schools.""
Wilson told Brunswick News Friday that it wasn't her intention to draw a comparison between the original Policy 713 and the residential school system, and that the media misconstrued her post.
Instead, she offered an explanation for why she decided to make a public call on the National Day for Truth and Reconciliation to make sure history doesn't repeat itself.
""The intention of it was because when you go to the Holocaust memorials, that's one of the things they'll always say, 'Let's talk about it, so it never happens again,'"" she said.
Six million Jewish people died at the hands of the Nazi German regime and its allies during the Holocaust, which occurred between 1933 and 1945.
Green party Deputy Leader Megan Mitton said Friday she was stunned to hear Wilson reference the Holocaust when the PC MLA was asked about Policy 713 and her post about residential schools.
""I find this very disturbing and shocking to bring the Holocaust into this discussion when residential schools already should not have been brought into this discussion,"" Mitton said. ""Frankly, this discussion should never have happened - this discussion of rolling back inclusion policies, particularly for non-binary and trans students, should never have happened and was definitely fueled by hateful rhetoric.""
Brunswick News requested comment from Premier Susan Holt through her office and did not receive a response as of deadline.
In 2023, the former Higgs PC government put in place a new parental consent requirement for trans and non-binary students under the age of 16 who wished to go by names and pronouns that reflected their gender identity. The policy change required school staff to obtain parental consent in order to informally use the preferred names and pronouns of these students.
The new requirement was championed by then premier Blaine Higgs and education minister Bill Hogan, both of whom spoke about their concerns with schools keeping secrets from parents under their government's original version of Policy 713.
But the PCs' revised policy was met with a flurry of protests, petitions and lawsuits, as well as turmoil within the party.
""It's so unfortunate that there couldn't have been a coming together with New Brunswickers on (the PCs' revised Policy 713) because I really believe that it was made into something that it wasn't at all,"" Wilson said Friday.
On the campaign trail this fall, Higgs decided to keep Wilson on as a candidate after her residential school post was condemned by Indigenous leaders, the Liberals and the Greens.
The post was eventually taken down because ""it didn't meet the mark and it was interpreted differently,"" Higgs later told reporters.
Wilson told Brunswick News Friday that the misinterpretation of her social media post by the media was ""probably one of the worst experiences I ever had.""
""What was more upsetting for me was I working directly with an Indigenous lady and she told me, 'Sherry, we know your heart, so don't worry about that. We know that wasn't your intention,'"" Wilson said.
""Other people - they took it seriously and believed it. It was a very difficult time because it was totally not what was intended.""
After a landslide win for the Liberals this fall, the new Holt government revised Policy 713, returning the right of all students - regardless of age or gender identity - to informally go by their chosen names and pronouns at school without parental consent.
Days after the Liberals' win, in a social media post, Wilson, who was reelected for a fifth term, blamed the ""liberal media"" for her residential school post being ""twisted"" during the election campaign.
Wilson said Friday she has already received complaints from some parents about the Liberals' revised Policy 713 that came into effect Jan. 1.
""A lot of the parents' rights groups have spoken with me and they are concerned about it as well because we want our kids to grow up to be happy, wholesome adults and be happy within their own bodies,"" she said. ""That's what people want.""","Telegraph-Journal; Saint John, N.B.","Saint John, N.B.","Simpson, Barbara",Postmedia Network Inc.,"Feb 26, 2025",Parents & parenting; Students; Holocaust; School systems; Gender identity; Social networks; Consent,
Possible human remains found in search of Manitoba landfill:   Authorities have been searching for the bodies of serial-killer victims Marcedes Myran and Morgan Harris,2025,"Manitoba has found what are believed to be human remains at a Winnipeg-area landfill where the province has been searching for the bodies of at least two First Nations women dumped by a convicted serial killer.
In a statement late Wednesday, the Manitoba government said experts on site at the Prairie Green landfill have identified potential human remains in the search material.
The province said that the RCMP and Manitoba’s Office of the Chief Medical Examiner are now investigating the matter and will work to identify the remains.
In early December, Manitoba Premier Wab Kinew told The Globe and Mail that a targeted section of the Prairie Green landfill had then been pinpointed as the most probable location of the bodies of 26-year-old Marcedes Myran and 39-year-old Morgan Harris.
After a months-long trial last year, 37-year-old Jeremy Skibicki was sentenced to life for the first-degree murders of Ms. Myran, Ms. Harris, 24-year-old Rebecca Contois and an unidentified woman whom First Nations elders have named Mashkode Bizhiki’ikwe, meaning Buffalo Woman.
In 2022, Winnipeg police had located some of the remains of Ms. Contois, a member of Crane River First Nation, at a separate landfill shortly after the killer’s arrest in May of that year. But remains of the other three women had never been found.
The bodies of Ms. Myran and Ms. Harris, both from Long Plain First Nation, are believed to have been dumped at Prairie Green, based on GPS information obtained by police from several garbage trucks. But Winnipeg police had not conducted a search of the landfill, considering it too dangerous.
The province said on Wednesday that the families of Ms. Harris and Ms. Myran have been notified about the new development and have attended the site. The government is asking to respect for their privacy at this time.
More to come.
Follow this link to view this story on globeandmail.com: Possible human remains found in search of Manitoba landfill",The Globe and Mail (Online); Toronto,Toronto,"Durrani, Temur",The Globe and Mail,"Feb 26, 2025",Criminal sentences; Criminal investigations; Landfill; Human remains,
Make Laurentian University Ontario's mining champion; Ontario election It's one of David Robinson's four pillars as the Green Party candidate for the Sudbury riding,2025,"Note: The Sudbury Star has given candidates running in the Sudbury and Nickel Belt ridings the chance to submit a column about why they are running and their priorities if elected. Here, David Robinson of the Green Party lays out his reasons for running.
My job as Sudbury's Green candidate is to get climate change on your agenda and convince you it is part of a real economic development strategy for our city.
My job as your MPP would be to bring together political factions and leading institutions in the city in a unified campaign to get what Sudbury needs. No other candidate has the knowledge, experience or the proven record of working for Sudbury. No other candidate has the contacts and the respect in every corner of the city.
Star readers can look up ""Dr. David Robinson, Sudbury"" with Google. They will discover that I am the father of Sudbury's architecture school, the person who identified and first promoted our mighty and growing mining supply sector, who has done briefings for the Greater Sudbury Chamber of Commerce, consulted for First Nations communities and other northern communities, helped found Gallery 6500 in the Steelworkers hall, played a key role in bringing Sudbury's PlaySmeter Festival to the city.
They will find that I am the father of three, grandfather of two, married for 44 years, and a longtime climate activist. They find my columns in The Star, in Northern Ontario Business Magazine, or the Republic of Mining website and my two books.
They will see someone with a wide knowledge and a wider set of connections that I can use on Sudbury's behalf if I am MPP.
I won't talk here about our solid Green platform, although I helped write parts of it.
I won't explain how Doug Ford has failed on every major provincial portfolio, although, as an economist, I can make that case pretty easily.
I'll just lay out my four provincial-level priorities for Sudbury.
First, make Laurentian University Ontario's mining champion. The world needs the critical minerals we have in Northern Ontario. The mines won't be in Sudbury. How do we capture a big share of the money these minerals generate? I would work with city council, the university and others to bring more mining-related research and teaching to Sudbury's university and colleges. This is Sudbury's biggest economic development opportunity.
Success would support the growth of the mining supply and services sector, the main economic driver for Greater Sudbury. It is the only way we can capture a share of the coming critical minerals boom for Sudbury.
The key is to build sustained and unified local political pressure.
Second, attract talent by being a climate champion and a safe climate refuge. Sudbury is in a kind of climate sweet spot. If we make the right moves now, Sudbury will look like heaven to people in places facing rapid and devastating climate change. Talent drives the economy. We can target talented climate refugees from around the world and the USA.
Third, save everyone money. Sudburians spend close to half a billion dollars a year on fossil fuels. We can cut that cost by two-thirds by helping people convert to heat pumps and electric vehicles. Make the choice easy and let the wallets talk.
Fourth, fix the city's finances. Cities are creatures of the province. The province has been downloading costs and responsibilities onto the property tax bill. It is time to download some of the province's revenues. Cities should get most of the fuel tax and part of the HST. We need property tax reform to make the system fairer and more efficient.
These are all provincial issues. Other candidates are not talking about them because they don't understand them. They don't remember how ambitious and powerful the people of Sudbury are when they work together. We can be powerful again.
Also running in Sudbury are Jamie West (Sudbury), who currently holds the seat for the NDP, Max Massimiliano (PCs), Rashid Mukhtar Choudhry (Liberals), Brady Legault (New Blue Party) and David Popescu (Independent.) sud.editorial@sunmedia.ca Bluesky: @sudburystar.bsky.social X: @SudburyStar","Sudbury Star; Sudbury, Ont.","Sudbury, Ont.","Robinson, David",Postmedia Network Inc.,"Feb 25, 2025",Economic development; Mining; Critical minerals; Climate change; Property taxes; Elections; Northern communities,Nom: Laurentian University; NAICS: 611310
Kingston and the Islands Green Party candidate Zachary Typhair,2025,"More than a decade ago, Kingston and the Islands was one of the ridings where the Ontario Green Party had high hopes of getting elected.
With Bridget Doherty and Robert Kiley, two candidates who would later go on to win city council seats, the party peaked with more than eight per cent of the vote in the 2007 election.
In 2014, Kiley won more than seven per cent of the vote.
But despite the hopes, the local candidates did not break out of single digit vote percentages, let alone challenge for the win.
Zachary Typhair, the Green Party's candidate this time around, worked on all of those campaigns and said the party's message is still resonating with Kingston voters.
""It's incredible, actually,"" he said. ""We're getting support across the political spectrum right now at the doors, and I think it's because conservatives don't feel like they're at home.
""The Ford government lost $340 million from the federal funding because they couldn't hit their housing targets. That's not responsible.""
Typhair said the Green Party's environmental message remains the same, albeit with a few tweaks to address the current political landscape.
With a looming trade war with the United States, a threat Premier Doug Ford used as the pretext for the entire election, Typhair said the Green's environmentalist roots can help protect Ontario from tariffs.
""The Greens are going to invest into local,"" he said. ""We're going to ensure that local business can get ahead because right now we're supporting big corporations and that's what you get with the other parties.
""We're the only party calling to break up the grocery monopolies. You want to know why food prices are going up? It's because we allow these monopolies to take control, declare what the price is, and small business owners can't compete.""
Typhair said the party pledged to make it easier to build four-unit housing developments without needing to go through a lengthy zoning process, something many politicians and municipalities have been moving toward.
""It's definitely slow work,"" Typhair said of efforts to create more housing.
""You've got the not-in-my-backyard people, and I think climate groups tend to not want to build within the city,"" he said. ""The choices are simple. You're either building within the city or you're continuing the sprawl, and as Greens, we're not anti-development. We're pro-development when it's sustainable and the more affordable choice.""
elferguson@postmedia.com","Kingston Whig - Standard; Kingston, Ont.","Kingston, Ont.","Ferguson, Elliot",Postmedia Network Inc.,"Feb 22, 2025",Local elections,
